team,name,year_clean,position_clean,height_clean,hometown_clean,hs_clean,division,conference
Columbia,Madison Hardy,Senior,GUARD,"5'9""","GAITHERSBURG, MD",Our Lady of Good Counsel,I,Ivy League
Drexel,Jalyn McNeill,Freshman,GUARD,"5'9""","DAMASCUS, MD",Our Lady of Good Counsel,I,CAA
Drexel,Jasmine Valentine,Junior,FORWARD,"5'11""","ODENTON, MD",St. Vincent Pallotti,I,CAA
Delaware State,Savannah Brooks,Freshman,GUARD/FORWARD,"5'9""","TANEYTOWN, MD",Legacy Early College,I,MEAC
Maryland-Eastern Shore,Caché Wilson,Junior,GUARD,"5'7""","BALTIMORE, MARYLAND",Baltimore Poly Institute,I,MEAC
Maryland-Eastern Shore,Jála Bannerman,Freshman,GUARD,"5'6""","BALTIMORE, MARYLAND",St. Frances Academy (Maryland),I,MEAC
Maryland-Eastern Shore,Makayla Adams,Junior,FORWARD,"5'10""","BOWIE, MARYLAND",Eleanor Roosevelt H.S.,I,MEAC
Maryland-Eastern Shore,Dakieran Turner,Freshman,FORWARD,"6'0""","ANNAPOLIS, MARYLAND",St. Frances Academy (Maryland),I,MEAC
Fordham,Jada Dapaa,Graduate Student,FORWARD,"5'11""","NORTH BETHESDA, MD",Holy Child,I,Atlantic 10
Georgia State,Jenae Dublin,Junior,GUARD/FORWARD,"6'2""","SUITLAND, MD",Gwynn Park,I,Sun Belt
Holy Cross,Simone Foreman,Freshman,GUARD,"5'9""","ODENTON, MD",St. Andrew's Episcopal,I,Patriot
Howard,Iyanna Warren,Senior,GUARD,"5'3""","ACCOKEEK, MD",Oxon Hill HS,I,MEAC
Howard,Marissa Steel,Sophomore,FORWARD,"6'2""","LAUREL, MD",Laurel HS,I,MEAC
Howard,Aniya Wilson,Junior,GUARD,"5'7""","ACCOKEEK, MD",Oxon Hill HS,I,MEAC
Howard,Kaiya Creek,Junior,FORWARD,"5'10""","SEAT PLEASANT, MD",National Christian Academy,I,MEAC
Howard,Kaniyah Harris,Junior,GUARD,"5'9""","CAPITAL HEIGHTS, MD",C.H. Flowers HS,I,MEAC
Lafayette,Jessica Booth,Senior,GUARD,"5'8""","COLUMBIA, MD",McDonogh School,I,Patriot
Longwood,Daysha Reid,Sophomore,GUARD/CENTER,"6'0""","FREDERICK, MD",Governor Thomas Johnson,I,Big South
Loyola-Maryland,Taleah Dixon,Graduate Student,GUARD,"5'10""","BALTIMORE, MD",McDonogh School,I,Patriot
Loyola-Maryland,Koi Sims,Sophomore,FORWARD,"6'0""","GLEN BURNIE, MD",Archbishop Spalding,I,Patriot
Loyola-Maryland,Caramina Tañedo,Junior,GUARD,"5'10""","LAUREL, MD",St. John's College,I,Patriot
Loyola-Maryland,Caroline Orza,Freshman,GUARD,"5'9""","CHEVY CHASE, MD",Bethesda Chevy Chase HS,I,Patriot
McNeese State,Stephanie Guihon,Graduate Student,GUARD,"5'6""","LARGO, MD",Largo High,I,Southland
Michigan State,Jayla James,Senior,FORWARD,"6'1""","UPPER MARLBORO, MD",Riverdale Baptist,I,Big Ten
Monmouth,Jania Hall,Junior,GUARD,"5'8""","GAITHERSBURG, MD",St. Vincent Pallotti,I,CAA
Navy,Lindsay Llewellyn,Senior,FORWARD,"5'10""","NORTH EAST, MD",The Tome School,I,Patriot
North Carolina Central,Nia Ford,Sophomore,GUARD,"5'11""","CLINTON, MD",Frederick Douglass HS,I,MEAC
Niagara,Sydney Faulcon,Senior,FORWARD,"6'2""","GLEN BURNIE, MD",Old Mill High School,I,MAAC
Northwestern,Sydney Wood,Graduate Student,GUARD/FORWARD,"5'11""","OLNEY, MARYLAND",St. John's College HS,I,Big Ten
Northwestern,Courtney Shaw,Graduate Student,FORWARD,"6'0""","PERRY HALL, MARYLAND",Perry Hall,I,Big Ten
Old Dominion,Taleah Washington,Senior,GUARD,"5'7""","DISTRICT HEIGHTS, MD",Forestville,I,Sun Belt
Mississippi,Madison Scott,Junior,FORWARD,"6'1""","INDIAN HEAD, MD",Bishop McNamara,I,SEC
North Florida,Lyric Swann,Junior,GUARD,"5'5""","ELKRIDGE, MD",Long Reach,I,ASUN
North Florida,Jaelyn Swann,Junior,GUARD,"5'11""","ELKRIDGE, MD",Long Reach,I,ASUN
Penn State,Kayla Thomas,Sophomore,FORWARD,"6'3""","BELTSVILLE, MD",Emerge Christian Academy,I,Big Ten
Quinnipiac,Mackenzie DeWees,Graduate Student,GUARD,"5'9""","WESTMINSTER, MD",Manchester Valley,I,MAAC
Radford,Trinity Klock,Junior,FORWARD,"6'0""","SILVER SPRING, MD",Paint Branch High School,I,Big South
Rice,Kennedy Clifton,Freshman,GUARD/FORWARD,"6'0""","UPPER MARLBORO, MD",Bishop Ireton HS,I,C-USA
Sacred Heart,Ny'Ceara Pryor,Freshman,GUARD,"5'3""","BALTIMORE, MD",Western HS,I,NEC
Sacred Heart,Afia Owusu-Mensah,Sophomore,GUARD,"5'8""","GLENN DALE, MD",CMIT Academy North,I,NEC
Saint Francis (PA),Destini Ward,Freshman,GUARD,"5'8""","BALTIMORE, MD",Western Tech,I,NEC
Stony Brook,Delaney Yarborough,Freshman,FORWARD,"6'3""","ELLICOTT CITY, MD",McDonogh School,I,CAA
Stony Brook,Kelis Corley,Junior,GUARD,"5'10""","CAPITOL HEIGHTS, MD",St. John's College,I,CAA
Towson,Gabby Scott,Freshman,FORWARD,"6'0""","ELLICOTT CITY, MD",Howard,I,CAA
Towson,Patricia Anumgba,Sophomore,GUARD,"5'7""","SILVER SPRING, MD",Paint Branch,I,CAA
Towson,Ryann Evans,Senior,GUARD/FORWARD,"5'10""","COLUMBIA, MD",Archbishop Spalding,I,CAA
Towson,Anissa Rivera,Senior,GUARD/FORWARD,"6'1""","CAPITOL HEIGHTS, MD",National Christian Academy,I,CAA
Tennessee Tech,DJ McFarlane,Senior,CENTER,6-3,"BELTSVILLE, MD",New Hope Academy,I,OVC
UMBC,Ashia McCalla,Graduate Student,GUARD,"5'7""","GREENBELT, MD",Eleanor Roosevelt,I,America East
Maryland,Abby Meyers,Senior,GUARD,"6'0""","POTOMAC, MD",Walt Whitman,I,Big Ten
Maryland,Gia Cooke,Freshman,GUARD,"5'9""","CLINTON, MD",Bishop McNamara,I,Big Ten
Maryland,Allie Kubek,Junior,FORWARD,"6'2""","ELKTON, MD",Sanford School,I,Big Ten
UNC Asheville,Nycerra Minnis,Junior,FORWARD,"6'3""","RIVERDALE, MD",Parkdale HS,I,Big South
North Carolina,Malu Tshitenge,Senior,FORWARD,"6'3""","GERMANTOWN, MD",St. John's College,I,ACC
William & Mary,Kayla Beckwith,Junior,CENTER,"6'1""","LAUREL, MD",The Bullis School,I,CAA
Elon,Regina Walton,Freshman,GUARD,"5'3""","CAPITOL HEIGHTS, MD",Seton HS,I,CAA
Elon,Hannah Dereje,Freshman,FORWARD/CENTER,"6'3""","BURTONSVILLE, MD",Elizabeth Seton HS,I,CAA
Shepherd,Kendal Haggerty,Junior,GUARD,"5'9""","FREDERICK, MD",Urbana,II,PSAC
Shepherd,Ryley Bolyard,Sophomore,GUARD,"5'9""","WALKERSVILLE, MD",Walkersville,II,PSAC
Shepherd,Madison Mertz,Junior,GUARD,"5'8""","MAUGANSVILLE, MD",North Hagerstown,II,PSAC
Shepherd,Meghan Shipley,Sophomore,GUARD,"5'8""","MIDDLETOWN, MD",Middletown,II,PSAC
Shepherd,Neresha Miller,Sophomore,FORWARD,"6'2""","LANDOVER, MD",DuVal,II,PSAC
Shepherd,Theresha Miller,Sophomore,FORWARD,"6'2""","LANDOVER, MD",DuVal,II,PSAC
Chatham,Emily Durkee,Sophomore,GUARD,"5'6""","ELKRIDGE, MD",Howard,III,PAC
Chatham,Kassie O'Hern,Freshman,GUARD,"5'4""","SYKESVILLE, MD",Liberty HS,III,PAC
Chatham,Samantha Hardy,Sophomore,FORWARD,"6'0""","WESTMINSTER, MD",Liberty HS,III,PAC
Glenville St.,Deja Atkinson,Sophomore,GUARD,"5'10""","MILLERSVILLE, MD",Old Mill,II,MEC
Glenville St.,Chalon Miles,Freshman,GUARD,"5'5""","SAINT MARY'S, MD",New Hope Academy,II,MEC
Sage Colleges,Allison Louque,Freshman,FORWARD,6-1,"WESTMINSTER, MD",Winters Mill,III,Empire 8
Holy Family,Anujin Dashdorj,Junior,GUARD,"5'8""","ROCKVILLE, MD",Richard Montgomery,II,CACC
Lander,Vashae Rideout,Sophomore,GUARD,"5'6""","BALTIMORE, MD",Western H.S.,II,Peach Belt
Limestone,Destiny Jackson,Senior,GUARD,"5'9""","SEVERN, MD",Meade HS,II,SAC
Carnegie Mellon,Megan Matsko,Junior,GUARD,5-9,"BALTIMORE, MD",Mount de Sales Academy,III,UAA
Mars Hill,Kyla Daniels,Junior,GUARD,5-5,"LEXINGTON PARK, MD",Great Mills,II,SAC
Post,Kiara Eubanks,Graduate Student,GUARD,"5'7""","ACCOKEEK, MD",New Hope Academy,II,CACC
Chris. Newport,Camille Malagar,Junior,GUARD,"5'6""","ELKRIDGE, MD",Howard,III,C2C
West Virginia St.,Imani Reid,Senior,FORWARD,"5'10""","COLUMBIA, MD",Hammond,II,MEC
Clark Atlanta,Shawn Tate,Sophomore,FORWARD,"5'10""","BALTIMORE, MD",Mt. Carmel High School,II,SIAC
Wingate,AJ Davis,Senior,FORWARD,"6'2""","BALTIMORE, MD",McDonough HS,II,SAC
Goucher,Briyah Haggins,Sophomore,GUARD,5-6,"WALDORF, MD",Westlake,III,Landmark
Goucher,Claire Flynn,Senior,GUARD/FORWARD,5-7,"ANNAPOLIS, MD",Broadneck,III,Landmark
Goucher,Sydney Nwuli,Junior,FORWARD,5-7,"SEVERNA PARK, MD",Severna Park,III,Landmark
Goucher,Lydia Bailey,Junior,FORWARD/CENTER,5-10,"SALISBURY, MD",Wicomico,III,Landmark
Goucher,Ava Cox,Sophomore,FORWARD,5-8,"ELKTON, MD",Elkton,III,Landmark
Catholic,Anna Melchionni,Sophomore,FORWARD,6-0,"FALLSTON, MD",Notre Dame Prep,III,Landmark
Catholic,Julia Tomlinson,Senior,GUARD,5-9,"DAMASCUS, MD",Damascus,III,Landmark
Colby,Carter McGloon,Junior,GUARD/FORWARD,"5'11""","BETHESDA, MD",Walt Whitman,III,NESCAC
Colorado Col.,Alex Aronie,Freshman,FORWARD,"5'9""","BETHESDA, MD",Walt Whitman HS,III,SCAC
Albright,Amina Rauf,Graduate Student,GUARD,"5'7""","BOWIE, MD",Bowie,III,MAC Commonwealth
Connecticut Col.,Ray Nnabuife,Freshman,FORWARD/CENTER,"6'3""","BALTIMORE, MD",Franklin,III,NESCAC
Davis & Elkins,Kaylee Milburn,Sophomore,FORWARD,"6'0""","FORT WASHINGTON, MD",Gwynn Park,II,MEC
Davis & Elkins,Jaela Reid,Freshman,GUARD/FORWARD,"5'11""","FORT MEADE, MD",Fort Meade,II,MEC
Davis & Elkins,Jackie Wright,Sophomore,GUARD/FORWARD,"5'9""","SALISBURY, MD",Parkside,II,MEC
East Carolina,Synia Johnson,Junior,GUARD,"5'9""","WALDORF, MD",Riverdale Baptist,I,AAC
East Carolina,Morgan Moseley,Junior,GUARD/FORWARD,"5'11""","CENTREVILLE, MD",Saint James School,I,AAC
DeSales,Amelia Saunders,Junior,GUARD,"5'7""","WESTMINSTER, MD",Manchester Valley,III,MAC Freedom
East. Mennonite,Donesha George,Freshman,GUARD,5-6,"SALISBURY, MD",James M. Bennet,III,ODAC
Elmira,D'Asia Jones,Sophomore,GUARD,"5'6""","ANNAPOLIS, MD",Annapolis,III,Empire 8
Chestnut Hill,Bri Rider,Sophomore,GUARD/FORWARD,"5'11""","NOTTINGHAM, MD",St. Timothy's School,II,CACC
Emmanuel (MA),Tramarie Mobray,Freshman,GUARD,5'5,"GLEN BURNIE, MD",Glen Burnie,III,Great Northeast
Emory,Charlotte Lowndes,Senior,GUARD/FORWARD,5-9,"BETHESDA, MD",Bethesda Chevy-Chase,III,UAA
Ferrum,Sadavia Felder,Senior,GUARD,"5'6""","SUITLAND, MARYLAND",Potomac,III,ODAC
JWU (Providence),Madison Clark,Sophomore,GUARD,5-3,"BALTIMORE, MD",Mercy,III,Great Northeast
Fla. Southern,Arriyana Bracero,Sophomore,GUARD,"5'1""","HUNTINGTOWN, MD",Huntingtown HS,II,Sunshine State
Frostburg St.,Sa'Niyah Council,Sophomore,GUARD,"5'6""","WALDORF, MD",Westlake,II,MEC
Frostburg St.,Carine Pinkney,Freshman,GUARD,"5'0""","ANNAPOLIS, MD",St. Mary's Ryken,II,MEC
Frostburg St.,Ciara Thomas,Senior,GUARD,"5'7""","MECHANICSVILLE, MD",Chopticon,II,MEC
Frostburg St.,Rhiana Hall,Junior,GUARD,"5'8""","FREDERICK, MD",Frederick,II,MEC
Frostburg St.,Olivia Ramsey,Junior,GUARD,"5'7""","FORT WASHINGTON, MD",Port Huron,II,MEC
Frostburg St.,Taryn Giles,Sophomore,FORWARD,"6'1""","ABERDEEN, MD",Maryvale Preparatory School,II,MEC
Frostburg St.,Jasmine Johnson,Sophomore,GUARD,"6'2""","TANEYTOWN, MD",St. Timothy's,II,MEC
Frostburg St.,Arianna Briggs-Hall,Senior,GUARD,"5'8""","ELKRIDGE, MD",Long Reach,II,MEC
Frostburg St.,Samiya Esema,Junior,FORWARD,"6'1""","WINDSOR MILL, MD",Lansdowne,II,MEC
Frostburg St.,Harley Herndon,Sophomore,GUARD,"5'8""","EDGEWATER, MD",South River,II,MEC
Frostburg St.,Faith James-Sergent,Junior,FORWARD,"6'0""","BALTIMORE, MD",Baltimore Polytechnic Institute,II,MEC
Grambling,Victoria Eniafe,Sophomore,FORWARD,"6'1""","UPPER MARLBORO, MD",Maret HS,I,SWAC
Geneva,Cynthia Stewart,Junior,GUARD,"5'6""","SILVER SPRINGS, MD",Paint Branch,III,PAC
Belmont Abbey,Riley James,Freshman,GUARD,"5'8""","DAVIDSONVILLE, MD",Elizabeth Seton,II,Conference Carolinas
Kansas City,Rain Green,Sophomore,GUARD,"5'8""","BALTIMORE, MD",Roland Park HS,I,Summit League
Hiram,Haley Thompson,Senior,GUARD/FORWARD,"5'9""","ELKRIDGE, MARYLAND",Long Reach,III,NCAC
Adelphi,Carmen Kweti,Freshman,FORWARD,"5'11""","FREDERICK, MD",Urbana,II,NE10
Mount Aloysius,Calaya Holland,Freshman,GUARD,"5'2""","UPPER MARLBORO, MD",Dr. Henry A. Wise,III,AMCC
Mount Aloysius,Taylor Whalen,Freshman,GUARD/FORWARD,"5'7""","HALETHORPE, MD",Catonsville,III,AMCC
Mitchell,Tatyana Gales,Junior,GUARD,5-4,"UPPER MARLBORO, MD",Eleanor Roosevelt,III,NECC
Mitchell,Kyrsten Lucas,Freshman,GUARD,5-7,"MANCHESTER, MD",Manchester Valley HS,III,NECC
Keystone,Kyleigh Monk,Freshman,GUARD,"5'4""","HAVRE DE GRACE, MD",John Carroll School,III,CSAC
Lancaster Bible,Gianna Hegler,Sophomore,GUARD,"5'4""","MOUNT AIRY, MD",Mount Airy Christian Academy,III,United East
Notre Dame (OH),Alexis Kuhlman,Sophomore,GUARD,"5'9""","MOUNT AIRY, MARYLAND",Herndon High School,II,MEC
Houghton,Malorie Eslick,Freshman,GUARD,"5'8""","GLEN BURNIE, MD",Glen Burnie,III,Empire 8
Sarah Lawrence,Isabel Garren,Sophomore,GUARD,"5'4""","ARNOLD, MD",Broadneck,III,Skyline
Holy Names,Maya Clark,Junior,FORWARD/CENTER,"5'11""","DOWELL, MD",Patuxent / Capitol Christian Academy,II,PacWest
Bryn Athyn,Eshe Knox,Freshman,GUARD,"5'6""","GYWNN OAK, MD",Western,III,CSAC
Ithaca,Emily Dorn,Senior,FORWARD,"5'11""","LAUREL, MD",Reservoir,III,Liberty League
Jackson St.,Liz Martino,Junior,GUARD,"6'0""","LANHAM, MD",Riverdale Baptist,I,SWAC
James Madison,Kadidia Toure,Freshman,FORWARD,"6'2""","SILVER SPRING, MD",Our Lady of Good Counsel,I,Sun Belt
James Madison,Claire Neff,Junior,FORWARD,"6'2""","BEL AIR, MD",Maryvale Prep,I,Sun Belt
Johns Hopkins,Sophie deBettencourt,Senior,GUARD,"5'8""","BETHESDA, MD",Walt Whitman High,III,Centennial
Juniata,Emily McCann,Freshman,GUARD,5-5,"WESTMINSTER, MD",Delone Catholic HS,III,Landmark
Lycoming,Katie Bena,Freshman,GUARD,"5'5""","CLARKSVILLE, MD",River Hill,III,MAC Freedom
Lycoming,Jillian Pumputis,Sophomore,GUARD,"5'6""","WESTMINSTER, MD",Westminster,III,MAC Freedom
Lynchburg,Maddie Nimmo,Freshman,GUARD,5-3,"STREET, MD",C. Milton Wright,III,ODAC
Manhattanville,Niyona Smith,Sophomore,FORWARD,"6'0""","BALTIMORE, MD",Concordia Prep,III,Skyline
Mansfield,Jasmine Hilton,Junior,FORWARD,"5'10""","UPPER MARLBORO, MD",Charles Herbert Flowers,II,PSAC
Mercy,Taysha Bender,Graduate Student,GUARD,"5'7""","GLEN BURNIE, MD",Archbishop Spalding,II,ECC
Mercyhurst,Carrie Jornlin,Senior,FORWARD,"6'3""","HAGERSTOWN, MD",Mercersburg Academy,II,PSAC
Mercyhurst,Sarah Hortin,Sophomore,FORWARD,"6'0""","ROCKVILLE, MD",Connelly School of the Holy Child,II,PSAC
Meredith,Kirsten Whitehead,Freshman,GUARD,5'1,"WESTMINSTER, MD",Westminster HS,III,USA South
Messiah,Reese Harden,Junior,GUARD,"5'8""","UPPERCO, MD",Hereford,III,MAC Commonwealth
Middlebury,Katie Hollensteiner,Sophomore,GUARD/FORWARD,"6'0""","BETHESDA, MD",Stone Ridge,III,NESCAC
Millersville,Jillian Crawford,Freshman,GUARD,"5'8""","FALLSTON, MD",Fallston,II,PSAC
Millersville,La'Shyra Williams,Junior,CENTER,"6'1""","BALTIMORE, MD",Institute of Notre Dame,II,PSAC
Morgan St.,Morgan Anderson,Graduate Student,FORWARD,"6'1""","OWINGS MILLS, MD",New Town High School,I,MEAC
Morgan St.,Gabrielle Johnson,Freshman,GUARD,"5'8""","BALTIMORE, MD",Western High School,I,MEAC
Morgan St.,Ja'Niah Henson,Senior,GUARD,"5'3""","BALTIMORE, MD",Roland Park Country School,I,MEAC
Morgan St.,Maiya Bumbray,Senior,GUARD,"5'8""","ELLICOTT CITY, MD",National Christian Academy,I,MEAC
Morgan St.,Taylor Addison,Graduate Student,FORWARD,"5'10""","COLUMBIA, MD",Howard High School,I,MEAC
UNCW,Carrie Gross,Graduate Student,GUARD,"5'11""","CLINTON, MD",Rock Creek Christian Academy,I,CAA
New Haven,Bianca Pendleton,Sophomore,FORWARD,"6'0""","ACCOKEEK, MD",New Hope Academy,II,NE10
NC State,Jakia Brown-Turner,Senior,WING,"6'0""","OXON HILL, MD",Bishop McNamara,I,ACC
N.C. Wesleyan,Asja Jones,Sophomore,GUARD,5-3,"PRINCE FREDERICK, MD",Calvert,III,USA South
N.C. Wesleyan,Devin Johnson,Junior,FORWARD,5-8,"DISTRICT HEIGHTS, MD",Dr. Henry A. Wise,III,USA South
Bates,Ava James,Freshman,GUARD,"5'10""","BETHESDA, MD",Walt Whitman,III,NESCAC
Northeastern,Deja Bristol,Junior,FORWARD,"6'1""","UPPER MARLBORO, MD",New Hope Academy,I,CAA
Oberlin,Camille Zinaich,Sophomore,GUARD,"5'10""","BOONSBORO, MD",Saint Maria Goretti,III,NCAC
Pitt.-Johnstown,Kylah Franklin,Junior,FORWARD,"6'0""","UPPER MARLBORO, MD",Bishop Ireton,II,PSAC
Pomona-Pitzer,Sophia James,Freshman,GUARD/FORWARD,5-11,"BETHESDA, MD",St Andrew’s Episcopal School,III,SCIAC
Benedict,Jasmine Gholson,Fifth Year,FORWARD,"5'10""","WALDORF, MD",Westlake HS,II,SIAC
Randolph-Macon,Devan Conrad,Senior,GUARD/FORWARD,5-7,"PARKVILLE, MD",St. Paul's School for Girls,III,ODAC
Randolph-Macon,Marisa Ziegler,Sophomore,GUARD,5-4,"FOREST HILL, MD",John Carroll,III,ODAC
Rochester (NY),Nora Fairbanks-Lee,Freshman,FORWARD,"5'11""","BETHESDA, MD",Bethesda Chevy Chase,III,UAA
St. Mary's (MD),Kristin Sabatini,Sophomore,GUARD,"5'8""","ELLICOTT CITY, MD",Howard,III,United East
St. Mary's (MD),Rachel Manning,Junior,GUARD,"5'9""","FINKSBURG, MD",Gerstell Academy,III,United East
St. Mary's (MD),Stephanie Howell,Senior,FORWARD,"5'8""","CHEVY CHASE, MD",Bethesda Chevy Chase,III,United East
St. Mary's (MD),Amira Whitaker,Junior,FORWARD,"5'8""","SILVER SPRING, MD",Albert Einstein,III,United East
St. Mary's (MD),Skylar Kaplan,Sophomore,GUARD,"5'6""","GLEN BURNIE, MD",North County,III,United East
St. Mary's (MD),Melanie Aguilar,Freshman,GUARD,"5'5""","RIVERDALE, MD",Parkdale,III,United East
St. Mary's (MD),Samantha Blaylock,Freshman,GUARD,"5'4""","FREDERICK, MD",Oakdale,III,United East
Scranton,Ashlyn Bender,Sophomore,GUARD,6-0,"WOODSTOCK, MD",Glenelg Country,III,Landmark
Shenandoah,Emily Williams,Freshman,GUARD,"5'8""","THURMONT, MD",Catoctin,III,ODAC
Shenandoah,Zoe Star,Junior,GUARD,"5'4""","NEW MARKET, MD",Oakdale,III,ODAC
Shenandoah,Ashleigh Zepp,Junior,FORWARD,"6'0""","UNION BRIDGE, MD",South Carroll,III,ODAC
Shenandoah,Gabby Krystofiak,Sophomore,GUARD,"5'8""","NEW MARKET, MD",Linganore,III,ODAC
Shenandoah,Jessica Littlejohn,Freshman,GUARD,"5'8""","ELDERSBURG, MD",Liberty,III,ODAC
Smith,Tiffany Hooker,Sophomore,GUARD,"5'4""","FULTON, MD",Reservoir,III,NEWMAC
Stonehill,Jada Thornton,Junior,GUARD,5-9,"GERMANTOWN, MD",Gaithersburg,I,NEC
Susquehanna,Kate Hildebrandt,Sophomore,GUARD,"5'7""","SILVER SPRING, MD",Montgomery Blair,III,Landmark
Susquehanna,Bri Dorsey,Sophomore,FORWARD,"5'11""","MONTGOMERY VILLAGE, MD",Seneca Valley,III,Landmark
Swarthmore,Alyssa Hayashi,Sophomore,GUARD,"5'6""","POTOMAC, MD",Bishop O'Connell,III,Centennial
Bowdoin,Starlette Franklin,Freshman,FORWARD,"6'2""","BALTIMORE, MD",Towson,III,NESCAC
Tennessee St.,Kennedy Davis,Junior,FORWARD,"6'0""","WHITE PLAINS, MD",New Hope Academy,I,OVC
Texas Southern,Taniya Lawson,Freshman,GUARD,"5'8""","CAPITOL HEIGHTS, MD",Archbishop Carroll,I,SWAC
Texas Southern,Jaida Belton,Freshman,FORWARD/CENTER,"6'4""","BALTIMORE, MD",New Hope Academy,I,SWAC
Texas Southern,Zyan Reynolds,Sophomore,CENTER,"6'4""","BALTIMORE, MD",Saint Frances Academy,I,SWAC
