name,team,conference,year,hometown_clean,hs_clean,previous_school_clean,height_clean,season
Liz Martino,Jackson St.,SWAC,Junior,"LANHAM, MD",Riverdale Baptist,Rutgers,"6'0""",2022-23
Kadidia Toure,James Madison,Sun Belt,Freshman,"SILVER SPRING, MD",Our Lady of Good Counsel,NA,"6'2""",2022-23
Claire Neff,James Madison,Sun Belt,Junior,"BEL AIR, MD",Maryvale Prep,NA,"6'2""",2022-23
Morgan Anderson,Morgan St.,MEAC,Graduate Student,"OWINGS MILLS, MD",New Town High School,Hood College,"6'1""",2022-23
Gabrielle Johnson,Morgan St.,MEAC,Freshman,"BALTIMORE, MD",Western High School,NA,"5'8""",2022-23
Ja'Niah Henson,Morgan St.,MEAC,Senior,"BALTIMORE, MD",Roland Park Country School,NA,"5'3""",2022-23
Maiya Bumbray,Morgan St.,MEAC,Senior,"ELLICOTT CITY, MD",National Christian Academy,NA,"5'8""",2022-23
Taylor Addison,Morgan St.,MEAC,Graduate Student,"COLUMBIA, MD",Howard High School,Mount St. Mary's University,"5'10""",2022-23
Carrie Gross,UNCW,CAA,Graduate Student,"CLINTON, MD",Rock Creek Christian Academy,Xavier,"5'11""",2022-23
Jakia Brown-Turner,NC State,ACC,Senior,"OXON HILL, MD",Bishop McNamara,NA,"6'0""",2022-23
Deja Bristol,Northeastern,CAA,Junior,"UPPER MARLBORO, MD",New Hope Academy,NA,"6'1""",2022-23
Jada Thornton,Stonehill,NEC,Jr,"GERMANTOWN, MD",Gaithersburg,NA,5-9,2022-23
Kennedy Davis,Tennessee St.,OVC,Junior,"WHITE PLAINS, MD",New Hope Academy,NA,"6'0""",2022-23
Taniya Lawson,Texas Southern,SWAC,Freshman,"CAPITOL HEIGHTS, MD",Archbishop Carroll,NA,"5'8""",2022-23
Jaida Belton,Texas Southern,SWAC,Freshman,"BALTIMORE, MD",New Hope Academy,NA,"6'4""",2022-23
Zyan Reynolds,Texas Southern,SWAC,Sophomore,"BALTIMORE, MD",Saint Frances Academy,NA,"6'4""",2022-23
Alex Cowan,Wagner,NEC,Redshirt Junior,"BOWIE, MD",St. John's College High School,NA,"5'7""",2022-23
Rakisha Ballinger,Wagner,NEC,Sophomore,"HYATTSVILLE, MD",Emerge Christian Academy,NA,"5'8""",2022-23
Marisa Sanchez-Henry,Wagner,NEC,Junior,"ELLICOT CITY, MD",Howard High School,NA,"5'6""",2022-23
Eniya Russell,Kentucky,SEC,Junior,"BALTIMORE, MD",Saint Vincent Palotti,South Carolina,6-1,2022-23
Ajae Petty,Kentucky,SEC,Junior,"BALTIMORE, MD",Baltimore Polytechnic Institute,LSU,6-3,2022-23
Zaiha Minnis,Hartford,DI Independent,Freshman,"CLINTON, MD",Maret School,NA,"5'10""",2022-23
Sonia Smith,George Mason,Atlantic 10,Sr.,"UPPER MARLBORO, MD",National Christian Academy,Sacred Heart,"5' 7""",2022-23
Nekhu Mitchell,George Mason,Atlantic 10,Fr.,"BALTIMORE, MD",McDonogh,NA,"6' 0""",2022-23
Chloe Chapman,Georgia,SEC,Sr.,"MITCHELLVILLE, MD",Our Lady of Good Counsel,NA,5-7,2022-23
Angel Reese,LSU,SEC,Sophomore,"BALTIMORE, MD",St. Frances Academy,Maryland,6-3,2022-23
Yonta Vaughn,Virginia,ACC,Freshman,"DISTRICT HEIGHTS, MD",Bishop McNamara High School,NA,5-8,2022-23
Mir McLean,Virginia,ACC,Junior,"BALTIMORE, MD",Roland Park Country School,Connecticut,5-11,2022-23
Isabella Tañedo,Utah St.,Mountain West,Fr.,"LAUREL, MD",St. John's College HS,NA,"5' 5""",2022-23
Lillian Harris,Utah St.,Mountain West,So.,"WESTMINSTER, MARYLAND",Westminster HS,CCBC Essex,"6' 2""",2022-23
Aaliyah Pitts,Western Ky.,C-USA,Jr.,"SUITLAND, MD",Bishop McNamara HS,Virginia,6-0,2022-23
